<Howard_University_Press>	Howard University Press
<Orion_Air>	Orion Air
<London_Buses_route_167>	London Buses route 167
<JVC>	JVC
<East_Troy_Electric_Railroad>	East Troy Electric Railroad
<de/M._et_A._Dulac>	M. et A. Dulac
<de/Bahnstrecke_Ahlhorn–Vechta>	Bahnstrecke Ahlhorn–Vechta
<pl/Centralna_Agencja_Fotograficzna>	Centralna Agencja Fotograficzna
<Blata_(company)>	Blata (company)
<Fairlop_Loop>	Fairlop Loop
<Cypress_Group>	Cypress Group
<Ashford_to_Ramsgate_(via_Canterbury_West)_Line>	Ashford to Ramsgate
<Andersen_Press>	Andersen Press
<Paris_Métro_Line_1>	Paris Métro Line 1
<nl/Kosmos_Uitgevers>	Kosmos Uitgevers
<pl/Linia_kolejowa_nr_56>	Linia kolejowa nr 56
<de/Georg_Bondi>	Georg Bondi
<Aeros>	Aeros
<Harrison_&_Abramovitz>	Harrison & Abramovitz
<Cheney_Racing>	Cheney Racing
<Preston_Car_Company>	Preston Car Company
<de/Almbuch>	Almbuch
<Southern_Skies>	Southern Skies
<de/Bahnstrecke_Haifa–Akko>	Bahnstrecke Haifa–Akko
<Bluebonnet_Electric_Cooperative>	Bluebonnet Electric Cooperative
<Marsu_Productions>	Marsu Productions
<Haden_(motorcycle)>	Haden (motorcycle)
<de/Tempton>	Tempton
<Tyrolean_Jet_Services>	Tyrolean Jet Services
<de/Gebrüder_Rieche>	Gebrüder Rieche
<QubicaAMF_Worldwide>	QubicaAMF Worldwide
<Achertalbahn>	Achertalbahn
<de/Lamborghini_Engineering>	Lamborghini Engineering
<Odenwald_Railway_(Hesse)>	Odenwald Railway (Hesse)
<de/Albistunnel>	Albistunnel
<Mandarin_Airlines>	Mandarin Airlines
<Hyundai_Motor_Group>	Hyundai Motor Group
<Big_Island_Air>	Big Island Air
<Continental_Connection>	Continental Connection
<de/Knorr_Capital_Partner>	Knorr Capital Partner
<Boxhead_Ensemble>	Boxhead Ensemble
<de/Palmen-Express_Frankfurt_am_Main>	Palmen-Express Frankfurt am Main
<Souper_Salad>	Souper Salad
<Community_Professional_Loudspeakers>	Community Professional Loudspeakers
<de/Automobiles_Dasse>	Automobiles Dasse
<Christians_for_Biblical_Equality>	Christians for Biblical Equality
<Texas_Aero_Corporation>	Texas Aero Corporation
<nl/Spoorlijn_25N>	Spoorlijn 25N
<Wauhatchie_Extension_Railway>	Wauhatchie Extension Railway
<Master_Motors>	Master Motors
<Handel's_Homemade_Ice_Cream_&_Yogurt>	Handel's Homemade Ice Cream & Yogurt
<STIC_Investments>	STIC Investments
<de/P.E.G._Einkaufs-_und_Betriebsgenossenschaft>	P.E.G. Einkaufs- und Betriebsgenossenschaft
<de/Strube-Bahn>	Strube-Bahn
<Amur_Railway>	Amur Railway
<Alliantgroup>	Alliantgroup
<Holiday_Rambler>	Holiday Rambler
<Société_typographique_de_Neuchâtel>	Societe typographique de Neuchatel
<Royal_Brunei_Catering>	Royal Brunei
<de/Creative_Supervisor>	Creative Supervisor
<Porzellanfabrik_Fraureuth>	Porzellanfabrik Fraureuth
<pl/Linia_kolejowa_nr_182>	Linia kolejowa nr 182
<Digitas_Health>	Digitas Health
<de/Mohawk_Motor_Company>	Mohawk Motor Company
<Kampuchea_Airlines>	Kampuchea Airlines
<Anchor_Buggy>	Anchor Buggy
<Phonocar>	Phonocar
<Methven_Branch>	Methven Branch
<de/CCS_Speciality_Cars>	CCS Speciality Cars
<Gibbons_(automobile)>	Gibbons
<UBPC>	UBPC
<Mallaig_Extension_Railway>	Mallaig Extension Railway
<Ping_(golf)>	Ping (golf)
<Paar_Valley_Railway>	Paar Valley Railway
<Thyssen-Henschel>	Thyssen-Henschel
<Valdosta_Southern_Railroad>	Valdosta Southern Railroad
<The_Shand_Group>	The Shand Group
<Tavrey_Airlines>	T6
<Spoon_Sports>	Spoon Sports
<Mitchells_Roberton>	Mitchells Roberton
<Éditions_Denoël>	Editions Denoel
<Second_Coming_Press>	Second Coming Press
<Paulson_&_Co.>	Paulson & Co.
<Baring_Vostok_Capital_Partners>	Baring Vostok Capital Partners
<Grundfos>	Grundfos
<nl/Böda_Bosspoorlijn>	Böda Bosspoorlijn
<Kauaʻi_Island_Utility_Cooperative>	Kauaʻi Island Utility Cooperative
<fr/The_Religious_Tract_Society>	The Religious Tract Society
<Stanwood_(automobile)>	Stanwood
<Hohenlohe_Railway>	Hohenlohe Railway
<pl/Kolej_Warszawsko-Bydgoska>	Kolej Warszawsko-Bydgoska
<Eastern_SkyJets>	Eastern SkyJets
<Fenelon_Place_Elevator>	Fenelon Place Elevator
<de/Ateliers_Déchamps>	Ateliers Dechamps
<Como–Brunate_funicular>	Como–Brunate funicular
<Temco_Aircraft>	Temco Aircraft
<Royal_Automobile_Club_of_Victoria>	Royal Automobile Club of Victoria
<Lady_Circus>	Lady Circus
<Plantronics>	Plantronics
<KD_Air>	KD Air
<Walters-Storyk_Design_Group>	Walters-Storyk Design Group
<de/Viking_(Reifenmarke)>	Viking
<Missouri_Library_Network_Corporation>	Missouri Library Network Corporation
<de/Bahnstrecke_Altshausen–Schwackenreute>	Bahnstrecke Altshausen-Schwackenreute
<South_Sudan_News_Agency>	South Sudan News Agency
<Antec>	Antec
<Jumbo_Games>	Jumbo Games
<Western_Forge>	Western Forge
<AMZ-KUTNO_Ltd>	AMZ-KUTNO Ltd
<Icebreaker_(clothing)>	Icebreaker
<Wiesmann>	Wiesmann
<Texas_State_Railroad>	Texas State Railroad
<Precept_Golf>	Precept Golf
<nl/Spoorlijn_Bochum_Präsident_-_Bochum-Riemke>	Spoorlijn Bochum Präsident - Bochum-Riemke
<de/Parkeisenbahn_Peißnitzexpress_Halle_(Saale)>	Parkeisenbahn Peißnitzexpress Halle
<es/Reverté-Aguilar>	Reverte-Aguilar
<Exelmans_(Paris_Métro)>	Exelmans
<Urawa_Red_Diamonds>	Urawa Red Diamonds
<Dodge_(cyclecar)>	Dodge
<Lowe_Alpine>	Lowe Alpine
<Line_5_(Madrid_Metro)>	Line 5 (Madrid Metro)
<Forstmann_Little_&_Company>	Forstmann Little & Company
<fr/Éditions_du_Cap>	Éditions du Cap
<National_Capital_Commission>	National Capital Commission
<Lotto_Sport_Italia>	Lotto
<de/Agência_de_Informação_de_Moçambique>	Agência de Informação de Moçambique
<Neumünster–Ascheberg_railway>	Neumünster–Ascheberg railway
<de/Picus_Verlag>	Picus Verlag
<de/Rand_Kardex_Company>	Rand Kardex Company
<nl/Spoorlijn_Rorschach_-_Sargans>	Spoorlijn Rorschach - Sargans
<Pariyatti>	Pariyatti
<Andreessen_Horowitz>	Andreessen Horowitz
<M201_railway_(Croatia)>	M201 railway
<Accles-Turrell>	Accles-Turrell
<Draper_Richards>	Draper Richards
<New_York_Bay_Extension_Railroad>	New York Bay Extension Railroad
<Stryker_Corporation>	Stryker Corporation
<Victor_Emmanuel_Railway>	Victor Emmanuel Railway
<fr/Atlantique_Air_Lines>	Atlantique Air Lines
<Fabryka_Słów>	Fabryka Słów
<de/Story_(Automarke)>	Story
<Canada_Development_Investment_Corporation>	CDIC
<Pearl_River_Valley_Railroad>	Pearl River Valley Railroad
<Joseph_Brazier>	Joseph Brazier
<TVA_Architects>	TVA Architects
<de/Gambia_New_Millennium_Air>	Gambia New Millennium Air
<Yingli>	Yingli
<nl/Spoorlijn_Wädenswil_-_Einsiedeln>	Spoorlijn Wädenswil - Einsiedeln
<Heathwick>	Heathwick
<Popeyes_Louisiana_Kitchen>	Popeyes Louisiana Kitchen
<it/Air-Dynamic>	Air-Dynamic
<Assam_State_Transport_Corporation>	Assam State Transport Corporation
<The_Federation_of_Private_Entrepreneurs_of_La_Paz>	The Federation of Private Entrepreneurs of La Paz
<Garland_Science>	Garland Science
<Falcon_Express_Cargo_Airlines>	Falcon Express Cargo Airlines
<Automotive_industry_in_Sweden>	Automotive industry in Sweden
<Aeromaan>	Aeromaan
<Herbert_Smith>	Herbert Smith
<One_of_the_Best_(car)>	One of the Best
<Gemaco>	Gemaco
<Allis-Chalmers>	Allis-Chalmers
<North_Cariboo_Air>	North Cariboo Air
<Keihan_Keishin_Line>	Keihan Keishin Line
<Kinzig_Valley_Railway_(Black_Forest)>	Kinzig Valley Railway (Black Forest)
<Sive,_Paget_&_Riesel>	Sive
<Mac_Tools>	Mac Tools
<Nanchuan–Fuling_Railway>	Nanchuan–Fuling Railway
<Jupiter-Avia>	Jupiter-Avia
<University_of_Puerto_Rico>	University of Puerto Rico
<pl/Wydawnictwo_IFiS_PAN>	Wydawnictwo IFiS PAN
<DRNH>	DRNH
<British_Westpoint_Airlines>	British Westpoint Airlines
<Metal_Aircraft_Corporation>	Metal Aircraft Corporation
<Pagani>	Pagani
<AdPack_USA>	AdPack USA
<TD2000>	TD2000
<pl/Linia_kolejowa_Gościno_–_Kołobrzeg_Wąskotorowy>	Linia kolejowa Gościno – Kołobrzeg Wąskotorowy
<Nigeria_Airways_destinations>	Nigeria Airways destinations
<de/Bahnstrecke_Hrušovany_u_Brna–Židlochovice>	Bahnstrecke Hrušovany u Brna–Židlochovice
<Mawddwy_Railway>	Mawddwy Railway
<Ted's_Hot_Dogs>	Ted's Hot Dogs
<Nanceene>	Nanceene
<MAVA-Renault>	MAVA-Renault
<Gornergratbahn>	Gornergratbahn
<Monogram_models>	Monogram models
<Rocky_Mountain_Bicycles>	Rocky Mountain
<Roa–Hønefoss_Line>	Roa–Hønefoss Line
<pl/Linia_kolejowa_nr_120>	Linia kolejowa nr 120
<de/Barmer_Bergbahn>	Barmer Bergbahn
<pl/Ciarko>	Ciarko
<SOKO>	SOKO
<Kintetsu_Yoshino_Line>	Kintetsu Yoshino Line
<Heenan_Blaikie>	Heenan Blaikie
<de/Beijing_Foton_Daimler_Automotive>	Beijing Foton Daimler Automotive
<United_Airlines_destinations>	United Airlines destinations
<Xilleon>	Xilleon
<Chez_Hotels>	Chez Hotels
<de/Nathan-Wagen>	Nathan-Wagen
<Gormully_&_Jeffery>	Gormully & Jeffery
<Quantum_Quality_Productions>	Quantum Quality Productions
<fr/Chemin_de_fer_Charente-Limousine>	Chemin de fer Charente-Limousine
<de/Nationale_Genossenschaft_für_die_Lagerung_radioaktiver_Abfälle>	Nationale Genossenschaft für die Lagerung radioaktiver Abfälle
<fr/Pygmalion_(maison_d'édition)>	Pygmalion
<CIME>	CIME
<Pacific_Cycles>	Pacific Cycles
<de/Gus_Balzer_Company>	Gus Balzer Company
<Dunnhumby>	Dunnhumby
<nl/Spoorlijn_24>	Spoorlijn 24
<Kaman_Aircraft>	Kaman Aircraft
<Etox>	Etox
<Deseret_Power_Railroad>	Deseret Power Railroad
<Mabey_Group>	Mabey Group
<Aronson_LLC>	Aronson LLC
<Grand_Canyon_Airlines>	Grand Canyon Airlines
<pl/Linia_kolejowa_nr_62>	Linia kolejowa nr 62
<Buick>	Buick
<fr/48_Cameras>	48 Cameras
<Monmouthshire_Canal_Tramway>	Monmouthshire Canal Tramway
<Sebo>	Sebo
<Yomics_World>	Yomics World
<IndUS_Aviation>	IndUS Aviation
<de/Dessau-Radegast-Köthener_Bahn>	Dessau-Radegast-Köthener Bahn
<Kabataş-Taksim_Funicular>	Kabatas-Taksim Funicular
<Tigerair_Taiwan>	Tigerair Taiwan
<London_Buses_route_245>	London Buses route 245
<Aerolíneas_de_El_Salvador>	Aerolíneas de El Salvador
<Daniels_Motor_Company>	Daniels Motor Company
<Scripps-Booth>	Scripps-Booth
<Maalouf_Ashford_&_Talbot>	Maalouf Ashford & Talbot
<Metro-North_Railroad>	Metro-North Railroad
<B&H_Airlines>	B&H Airlines
<Chad_Valley>	Chad Valley
<Intelligent_Energy>	Intelligent Energy
<de/Léon_Laisne>	Leon Laisne
<Gelatine_Manufacturers_Of_Europe>	Gelatine Manufacturers Of Europe
<fr/Marcel_Broquet>	Marcel Broquet
<it/Guia_(moto)>	Guia
<de/Bahnstrecke_Węgliniec–Görlitz>	Bahnstrecke Węgliniec–Görlitz
<Caldwell_Vale>	Caldwell Vale
<Naugles>	Naugles
<Volgograd_tractor_factory>	VTZ
<Sportsflight_Airways>	Sportsflight Airways
<Pulkovo_Aviation_Enterprise>	Pulkovo Aviation Enterprise
<Brayton_Purcell>	Brayton Purcell
<Fiat_Aviazione>	Fiat Aviazione
<de/Trumbull_Motor_Car>	Trumbull Motor Car
<de/Maschinenfabrik_Niehoff>	Maschinenfabrik Niehoff
<Gaelco>	Gaelco
<de/Bahnstrecke_Amstetten–Laichingen>	Bahnstrecke Amstetten–Laichingen
<Rawlings_(company)>	Rawlings
<Cobray_Company>	Cobray Company
<Chicken_George_(restaurant_chain)>	Chicken George
<de/ESA-Einkaufsorganisation_des_Schweizerischen_Auto-_und_Motorfahrzeuggewerbes>	ESA-Einkaufsorganisation des Schweizerischen Auto- und Motorfahrzeuggewerbes
<London_Buses_route_107>	London Buses route 107
<Thee_Silver_Mt._Zion_Memorial_Orchestra>	SMZ
<de/Bahnstrecke_Otrokovice–Vizovice–Valašská_Polanka>	Bahnstrecke Otrokovice-Vizovice-Valasska Polanka
<de/Cyclauto>	Cyclauto
<fr/Éditions_Indo_Éditions>	Editions Indo Editions
<Indiana_Southwestern_Railway>	Indiana Southwestern Railway
<Four_Horsemen_Studios>	Four Horsemen Studios
<Polistil>	Polistil
<Star_Aviation>	Star Aviation
<Roco>	Roco
<Van_Diemen>	Van Diemen
<de/Acht_vertikale_und_acht_horizontale_Linien>	Acht vertikale und acht horizontale Linien
<Avon_Rubber>	Avon Rubber
<Stoel_Rives>	Stoel Rives
<Model_Automobile_Company>	Model Automobile Company
<Adria_Airways>	ADR
<KPMB_Architects>	KPMB Architects
<Caribair>	Caribair
<Meze_Headphones>	Meze Headphones
<Buckeye_Industries>	Buckeye
<Ribble_Valley_Line>	Ribble Valley Line
<de/ZEMAG>	ZEMAG
<Pearl_Izumi>	Pearl Izumi
<es/Aero_Santa>	Aero Santa
<de/Mercedes-Benz-Lkw>	Mercedes-Benz-Lkw
<Air_Gabon>	Air Gabon
<London_Buses_route_14>	London Buses route 14
<Ruston_(engine_builder)>	Ruston (engine builder)
<Fulcrum_Press>	Fulcrum Press
<Western_Railroad_(Massachusetts)>	Western Railroad (Massachusetts)
<Avteq>	Avteq
<ExecuJet_Aviation_Group>	ExecuJet Aviation Group
<Telecomsoft>	Telecomsoft
<GuardAir>	GuardAir
<Back_Bay_Restaurant_Group>	Back Bay Restaurant Group
<nl/Kulak_(automerk)>	Kulak (automerk)
<Aer_Lualdi>	Aer Lualdi
<Nieuport>	Nieuport
<Minicomic_Co-ops>	Minicomic Co-ops
<TB_Jeans>	TB Jeans
<Line_9_(Madrid_Metro)>	Line 9 (Madrid Metro)
<pl/Linia_kolejowa_Świnoujście_Główne_–_Świnoujście_Port_(Uznam)>	Linia kolejowa Świnoujście Główne – Świnoujście Port
<Guelph_Junction_Railway>	Guelph Junction Railway
<Scantec>	Scantec
<Dyke_(automobile_company)>	Dyke
<Gaeth>	Gaeth
<de/Zanella_Fratelli>	Zanella Fratelli
<Jenkens_&_Gilchrist>	Jenkens & Gilchrist
<EVA_Air>	EVA Air
<Robin_Aircraft>	Robin Aircraft
<de/Motorenbau_Werk_Kassel>	Motorenbau Werk Kassel
<Snail_Press_Publications>	Snail Press Publications
<de/Barron-Vialle>	Barron-Vialle
<Impact_Comics>	Impact Comics
<Maharashtra_State_Road_Transport_Corporation>	Maharashtra State Road Transport Corporation
<Sheppee>	Sheppee
<Silicon_Valley_Law_Group>	Silicon Valley Law Group
<de/Ramal_de_Miraí>	Ramal de Miraí
<Lloyd_Cars_Ltd>	Lloyd Cars Ltd
<InformIT>	InformIT
<Northern_Plains_Railroad>	Northern Plains Railroad
<Menchie's_Frozen_Yogurt>	Menchie's Frozen Yogurt
<de/Bahnstrecke_Krupá–Kolešovice>	Bahnstrecke Krupa-Kolesovice
<Rothaar_Railway>	Rothaar Railway
<McArthur_&_Company_Publishing>	McArthur & Company Publishing
<de/Speedster_Center_Seibt>	Speedster Center Seibt
<Bjering_(car)>	Bjering (car)
<nl/Bombardier_(motorfiets)>	Bombardier
<de/Antares_Airtransport>	Antares Airtransport
<LGV_Interconnexion_Est>	LGV Interconnexion Est
<Talmei_Bilu>	Talmei Bilu
<Kelty_(company)>	Kelty
<Air_Montmagny>	Air Montmagny
<Wooden_toymaking_in_the_Ore_Mountains>	Wooden toymaking in the Ore Mountains
<de/Innviertelbahn>	Innviertelbahn
<Spokane_International_Railroad>	Spokane International Railroad
<Dubrovnik_Airline>	Dubrovnik Airline
<Ghezzi_&_Brian>	Ghezzi & Brian
<North_Charleston_Terminal_Company>	North Charleston Terminal Company
<Valmet_Automotive>	Valmet Automotive
<Hagen–Dieringhausen_railway>	Hagen-Dieringhausen railway
<de/Rheinische_Ritterschaft>	Rheinische Ritterschaft
<Direct_Group>	Direct Group
<Kona_Guitars>	Kona Guitars
<Krustpils_–_Rēzekne_II_Railway>	Krustpils - Rezekne II Railway
<pl/Akpil>	Akpil
<Wuhan_Airlines>	Wuhan Airlines
<DoubleClick>	DoubleClick
<Aer_Arann>	Aer Arann
<Vachette_Pathology>	Vachette Pathology
<Tholomé>	Tholome
<Gonō_Line>	Gono Line
<Dramatists_Play_Service>	Dramatists Play Service
<Publicis_Healthware_International>	Publicis Healthware International
<Utrechtboog>	Utrechtboog
<Renata_(battery)>	Renata (battery)
<Gillig_Corporation>	Advantage
<nl/ForFarmers>	ForFarmers
<Dalifol>	Dalifol
<Stony_Crossing_railway_line>	Stony Crossing railway line
<Nosler>	Nosler
<Osh-Avia>	Osh-Avia
<Linklaters>	Linklaters
<nl/Friedrich-Wilhelms-Nordbahn>	Friedrich-Wilhelms-Nordbahn
<nl/VDL_Bus_Heerenveen>	VDL Bus Heerenveen
<Kenosha_Streetcar_Circulator>	Kenosha Streetcar Circulator
<de/Sankt_Gallisch-Appenzellische_Eisenbahn>	Sankt Gallisch-Appenzellische Eisenbahn
<Amazonen-Werke>	Amazonen-Werke
<Southwest_Pennsylvania_Railroad>	Southwest Pennsylvania Railroad
<Green_Line_route_757>	Green Line route 757
<Champ_Libre>	Champ Libre
<Ozamktas_Özaltin_Makina_Otomotiv>	Ozamktas Oezaltin Makina Otomotiv
<George_M._Hill_Company>	George M. Hill Company
<HILCO_Electric_Cooperative>	HILCO Electric Cooperative
<Southern_Railway_(Turkey)>	Southern Railway
<Bercy_(Paris_Métro)>	Bercy
<de/Bahnstrecke_Baranowski–Chassan>	Bahnstrecke Baranowski–Chassan
<Electric_Moto_Corporation>	Electric Moto Corporation
<Marquardt_Corporation>	Marquardt Corporation
<Sanford-Herbert_Motor_Truck_Company>	Sanford-Herbert Motor Truck Company
<Leitner-Poma>	Leitner-Poma
<BAe_Dynamics>	BAe Dynamics
<Pollos_Frisby>	Pollos Frisby
<Comores_Aviation_International>	Comores Aviation International
<de/Helo>	Helo
<Fimer>	Fimer
<pl/Linia_kolejowa_nr_691>	Linia kolejowa nr 691
<fr/Herbert_de_Reuter>	Herbert de Reuter
<de/Optima_packaging_group>	Optima packaging group
<nl/DB_1140>	DB 1140
<Mito_Line>	Mito Line
<Excelsior-Mascot>	Excelsior-Mascot
<Macbeth_Athletics>	Macbeth Athletics
<de/Böda_Skogsjärnväg>	Boeda Skogsjaernvaeg
<Ericsson>	Ericsson
<Edmonton_Contemporary_Artists'_Society>	Edmonton Contemporary Artists' Society
<Railway_Schools>	Railway Schools
<Leone_Airways>	Leone Airways
<fr/Guiller_(entreprise)>	Guiller (entreprise)
<Powerfin>	Powerfin
<Canterbury_of_New_Zealand>	Canterbury of New Zealand
<fr/Société_d'habitation_du_Québec>	Société d'habitation du Québec
<de/Tantos>	Tantos
<New_Village_Press>	New Village Press
<Cefiore>	Cefiore
<Zaccaria_(company)>	Zaccaria (company)
<de/Bahnstrecke_Wałbrzych_Szczawienko–Meziměstí>	Bahnstrecke Walbrzych Szczawienko-Mezimesti
<John_Jacques_(furniture_manufacturer)>	John Jacques (furniture manufacturer)
<Heidrick_&_Struggles>	Heidrick & Struggles
<de/Hardy_Schmitz_Gruppe>	Hardy Schmitz Gruppe
<Rome–Civitacastellana–Viterbo_railway>	Rome-Civitacastellana-Viterbo railway
<Irkut_Corporation>	Irkut Corporation
<Aldeburgh_Branch_Line>	Aldeburgh Branch Line
<Co-operative_Travel_Trading_Group>	Co-operative Travel Trading Group
<pl/PKP_S.A._Oddział_Dworce_Kolejowe>	PKP S.A. Oddzial Dworce Kolejowe
<de/Josef_Habbel>	Josef Habbel
<de/Automobilfabrik_Feodor_Siegel>	Automobilfabrik Feodor Siegel
<nl/Spoorlijn_Locarno_-_Domodossola>	Spoorlijn Locarno - Domodossola
<Christy_(towel_manufacturer)>	Christy
<New_Era_Windows>	New Era Windows
<Agricultural_&_General_Engineers>	Agricultural & General Engineers
<NK_Engines_Company>	NK Engines Company
<nl/Dry_Alternator_Drive_System>	Dry Alternator Drive System
<Breakwater_Books>	Breakwater Books
<Jonway>	Jonway
<Royal_Air_Burundi>	Royal Air Burundi
<Shinbundang_Line>	Shinbundang Line
<Altor_Equity_Partners>	Altor Equity Partners
<Boston_Sea_Party>	Boston Sea Party
<Arthur_D._Little>	Arthur D. Little
<Kriens–Sonnenberg_funicular>	Kriens-Sonnenberg funicular
<Perrigo>	Perrigo
<Herzog_&amp;_de_Meuron>	Herzog & de Meuron
<British_NorthWest_Airlines>	BNW
<Waggonfabrik_Talbot>	Waggonfabrik Talbot
<Hispano-Suiza>	Hispano
<Crane-Simplex>	Crane-Simplex
<GN_(car)>	GN (car)
<de/La_Trotteuse>	La Trotteuse
<Swann_Galleries>	Swann Galleries
<Archana_Airways>	Archana Airways
<es/Al_Araba_Company>	Al Araba Company
<Apsheronsk_narrow-gauge_railway>	Apsheronsk narrow-gauge railway
<Olten–Lucerne_railway_line>	Olten-Lucerne railway line
<Asia_Transpacific_Journeys>	Asia Transpacific Journeys
<de/La_Minerve>	La Minerve
<Aberdeen_University_Press>	Aberdeen University Press
<Killarney_railway_line>	Killarney railway line
<Panic_Movement>	Panic Movement
<Auto_Cub_(1956)>	Auto Cub (1956)
<de/Automobiles_Dumont>	Automobiles Dumont
<de/Eisenbahn_auf_Ærø>	Eisenbahn auf Aero
<Créteil_–_Université_(Paris_Métro)>	Créteil – Université
<ESS_speakers>	ESS speakers
<de/Ramal_de_Mora>	Ramal de Mora
<Pilgrims_Publishing>	Pilgrims Publishing
<de/Möbelbau>	Möbelbau
<pl/Linia_kolejowa_nr_568>	Linia kolejowa nr 568
<Jet's_Pizza>	Jet's Pizza
<fr/Agence_Dalziel>	Agence Dalziel
<Hardin_Southern_Railroad>	Hardin Southern Railroad
<Evron,_Israel>	Evron, Israel
<FAMARS>	FAMARS
<Alna_Line>	Alna Line
<fr/Brunswick_Marine>	Brunswick Marine
<fr/Ligne_279_(Infrabel)>	Ligne 279 (Infrabel)
<Lübeck–Hamburg_railway>	Luebeck-Hamburg railway
<nl/Air_G>	Air G
<Air_Togo>	Air Togo
<Cizeta>	Cizeta
<nl/Bruynzeel_(bedrijf)>	Bruynzeel
<South_Shore_Railroad>	South Shore Railroad
<Twin_Peaks_(restaurant_chain)>	Twin Peaks (restaurant chain)
<Capital_Transit_Company>	Capital Transit Company
<RailRadar>	RailRadar
<de/Portland–Lewiston_Interurban_Railroad>	Portland-Lewiston Interurban Railroad
<es/Publicações_Europa-América>	Publicacoes Europa-America
<Corpet-Louvet>	Corpet-Louvet
<Martha's_Vineyard_Railroad>	Martha's Vineyard Railroad
<de/Neuhauser_Bockerlbahn>	Neuhauser Bockerlbahn
<Kanonenbahn>	Kanonenbahn
<Route_5_(MTA_Maryland)>	Route 5 (MTA Maryland)
<nl/Sears_(automerk)>	Sears
<New_York_Air>	New York Air
<Cayman_Airways>	KX
<fr/Yellow_Now>	Yellow Now
<Saab>	Saab
<Transcaucasus_Railway>	Transcaucasus Railway
<Chicago_Metallic_Corporation>	Chicago Metallic Corporation
<IDW_Publishing>	IDW
<Brewster_&_Co.>	Brewster & Co.
<Burrell_Communications_Group>	Burrell Communications Group
<de/Moustique>	Moustique
<Random_House_of_Canada>	Random House of Canada
<Malindo_Air>	Malindo Air
<Circumstantial_Productions>	Circumstantial Productions
<ARGO_SpA>	ARGO SpA
<de/Automóviles_Victoria>	Automoviles Victoria
<Brooklyn_Union_Elevated_Railroad>	Brooklyn Union Elevated Railroad
<Toronto_Terminals_Railway>	Toronto Terminals Railway
<Freiburg–Colmar_railway>	Freiburg–Colmar railway
<Winchell's_Donuts>	Winchell's Donuts
<de/Bahnen_des_Kreises_Deutsch_Krone>	Bahnen des Kreises Deutsch Krone
<Primaris_Airlines>	Primaris Airlines
<Incunabula_(publisher)>	Incunabula (publisher)
<InterMedia_Partners>	InterMedia Partners
<Gate_13>	G13
<Symbolic_Sound_Corporation>	Symbolic Sound Corporation
<Raufoss_Ammunisjonsfabrikker>	Raufoss Ammunisjonsfabrikker
<NAB_–_Navegação_Aérea_Brasileira>	NAB – Navegação Aérea Brasileira
<Itsukaichi_Line>	Itsukaichi Line
<Vnesheconombank>	Vnesheconombank
<Sweet_&_Maxwell>	Sweet & Maxwell
<pl/Linia_kolejowa_nr_180>	Linia kolejowa nr 180
<Nelson_Electric_Tramway>	Nelson Electric Tramway
<Abhyudaya_Co-operative_Bank_Ltd>	Abhyudaya Co-operative Bank Ltd
<Pirin-Fiat>	Pirin-Fiat
<Toby_Keith's_I_Love_This_Bar_&_Grill>	Toby Keith's I Love This Bar & Grill
<Thousand_Islands_Railway>	Thousand Islands Railway
<EISER_Infrastructure>	EISER Infrastructure
<Rocrail>	Rocrail
<Protean_Electric>	Protean Electric
<Magazine_Enterprises>	Magazine Enterprises
<de/Bahnstrecke_Rättvik–Borlänge>	Bahnstrecke Raettvik-Borlaenge
<de/GEA_Farm_Technologies>	GEA Farm Technologies
<Jean_Gras>	Jean Gras
<Megaworld_Lifestyle_Malls>	Megaworld Lifestyle Malls
<de/Siemens-Reiniger-Werke>	Siemens-Reiniger-Werke
<pl/Linia_kolejowa_nr_742>	Linia kolejowa nr 742
<Mayfield_Fund>	Mayfield Fund
<de/Winkler+Dünnebier>	Winkler+Duennebier
<Delhi–Kalka_line>	Delhi–Kalka line
<fr/Timée_Éditions>	Timée Éditions
<fr/Arléa>	Arlea
<nl/De_Vlijt_(uitgeverij)>	De Vlijt
<Hanover–Würzburg_high-speed_railway>	Hanover–Würzburg high-speed railway
<Willowbrook_(vehicle_body_builders)>	Willowbrook (vehicle body builders)
<Hommell>	Hommell
<Human_Kinetics_(publisher)>	Human Kinetics (publisher)
<Isokon>	Isokon
<Trams_in_Linz>	Trams in Linz
<KieranTimberlake>	KieranTimberlake
<Innsbruck_bypass>	Innsbruck bypass
<AirAsia_Japan>	AirAsia Japan
<es/Ediciones_Bordura>	Ediciones Bordura
<Kharma_International>	Kharma International
<Lanzhou–Xinjiang_Railway>	Lanzhou–Xinjiang Railway
<de/Établissements_Émile_Pilain>	Etablissements Emile Pilain
<Saunders-Roe>	Saunders
<fr/Chemins_de_fer_départementaux_des_Ardennes>	Chemins de fer départementaux des Ardennes
<Hafslund_Line>	Hafslund Line
<G'Five>	G'Five
<it/Roxa>	Roxa
<Charles_H._Kerr_Publishing_Company>	Charles Kerr
<Trailblazer_(monorail)>	Trailblazer (monorail)
<Khalifa_Airways>	Khalifa
<de/Gebr._Graef>	Gebr. Graef
<Palmetto_Railway>	Palmetto Railway
<de/Maschinenfabrik>	Maschinenfabrik
<Italdesign_Giugiaro>	Italdesign Giugiaro
<pl/Linia_kolejowa_Jabłonka_Słupecka_–_Wilczyn>	Linia kolejowa Jabłonka Słupecka – Wilczyn
<Financial_services_in_China>	Financial services in China
<de/Caminho_de_Ferro_do_Monte>	Caminho de Ferro do Monte
